state,date,max_temp,mean_temp,min_temp,mean_humidity,mean_wind,total_rain,mean_pressure,peak_demand,mean_demand,mean_price
QLD1,2011-07-09,19.7,13.939583333333333,9.3,39.395833333333336,10.427083333333334,0.0,1019.6695652173913,6484.66,5575.628958333334,27.152291666666667
QLD1,2011-07-10,19.0,13.200000000000001,7.2,43.604166666666664,8.795833333333333,0.0,1017.6104166666668,6786.57,5588.191458333334,28.642916666666668
QLD1,2011-07-11,21.3,13.979166666666666,8.0,46.833333333333336,7.075,0.0,1018.88125,7193.22,6051.761458333333,32.005625
QLD1,2011-07-12,21.3,12.454166666666666,7.0,65.0,2.6625,0.0,1022.5770833333332,7281.96,6100.556874999999,32.23375
QLD1,2011-07-13,23.1,13.633333333333333,5.9,64.52083333333333,2.5083333333333333,0.0,1020.4659574468085,7234.04,6042.888541666667,32.311458333333334
QLD1,2011-07-14,22.5,15.195454545454545,9.6,55.86363636363637,4.809302325581395,0.0,1022.7909090909092,6984.38,5940.471458333333,30.405625
QLD1,2011-07-15,19.6,15.137500000000001,13.0,66.70833333333333,5.708333333333333,3.4,1028.0166666666667,7000.33,5993.465208333334,32.053333333333335
QLD1,2011-07-16,16.2,13.758333333333333,12.0,86.79166666666667,4.045833333333333,10.8,1025.9875,6734.92,5779.071041666666,27.955
QLD1,2011-07-17,21.5,15.543750000000001,12.4,79.27083333333333,2.970833333333333,1.0,1021.4541666666668,6491.06,5452.04625,24.323125
QLD1,2011-07-18,23.2,16.052083333333332,10.3,69.4375,4.033333333333333,0.2,1017.5416666666666,6846.58,5897.288333333334,25.557916666666667
QLD1,2011-07-19,19.3,14.672916666666666,8.6,55.666666666666664,9.116666666666667,0.0,1014.9041666666667,7137.91,6005.853749999999,27.703333333333333
QLD1,2011-07-20,17.9,14.172916666666666,10.1,56.416666666666664,12.033333333333333,0.0,1011.2291666666666,7043.82,6020.616875,27.139583333333334
QLD1,2011-07-21,22.8,17.404166666666665,11.3,50.6875,7.9624999999999995,0.0,1010.3145833333333,6813.05,5856.565,24.25
QLD1,2011-07-22,22.7,17.09375,12.5,54.020833333333336,5.654166666666666,0.0,1010.9083333333333,6735.94,5823.313125,22.188333333333333
QLD1,2011-07-23,21.7,15.247916666666667,10.3,58.9375,4.333333333333333,0.0,1014.2791666666667,6160.53,5445.0775,24.514583333333334
QLD1,2011-07-24,20.9,13.583333333333334,8.5,66.16666666666667,3.1625,0.0,1018.0458333333332,6397.84,5378.711666666667,25.341250000000002
QLD1,2011-07-25,22.0,13.654166666666667,7.9,64.29166666666667,2.891666666666667,0.2,1019.9416666666666,7029.43,5945.975833333334,23.471041666666668
QLD1,2011-07-26,23.4,14.533333333333333,8.0,62.1875,2.670833333333334,0.2,1021.8979166666667,7046.13,5965.426458333332,26.134583333333335
QLD1,2011-07-27,22.4,14.44375,8.9,60.083333333333336,3.3958333333333335,0.0,1024.14375,6872.25,5894.378541666666,29.58458333333333
QLD1,2011-07-28,21.4,14.006250000000001,7.4,64.3125,4.575,0.0,1026.0249999999999,6892.9,5908.5075,33.40083333333333
QLD1,2011-07-29,21.1,15.275,10.9,68.77083333333333,5.2250000000000005,0.0,1024.9020833333334,6718.05,5823.099375000001,33.185833333333335
QLD1,2011-07-30,20.6,14.606250000000001,10.2,71.20833333333333,4.541666666666667,0.0,1023.0187500000001,6233.77,5405.541666666667,27.155208333333334
QLD1,2011-07-31,21.8,14.3375,9.2,71.5,3.25,0.0,1022.1437500000001,6355.5,5298.534583333333,26.438125
QLD1,2011-08-01,22.5,14.504166666666668,9.0,74.14583333333333,2.779166666666667,0.0,1022.7208333333333,6661.24,5760.217291666667,28.06125
QLD1,2011-08-02,22.6,14.897916666666667,9.9,75.1875,3.2624999999999997,0.0,1023.7895833333333,6625.31,5747.694375,27.93375
QLD1,2011-08-03,22.2,14.877083333333333,9.8,74.35416666666667,3.5083333333333333,0.0,1025.1645833333334,6622.95,5729.53875,26.596249999999998
QLD1,2011-08-04,21.3,14.508333333333333,9.2,74.64583333333333,3.8874999999999997,0.0,1027.5562499999999,6771.3,5765.195,26.671041666666667
QLD1,2011-08-05,21.4,15.5625,10.5,71.97916666666667,4.720833333333333,0.0,1027.3625,6511.88,5771.049583333333,28.166666666666668
QLD1,2011-08-06,23.1,16.150000000000002,9.6,72.875,3.329166666666667,0.0,1023.9354166666667,5998.05,5325.628125,27.146041666666665
QLD1,2011-08-07,24.3,18.16875,14.0,73.04166666666667,3.591666666666667,0.0,1018.5,6120.93,5153.994583333333,25.602083333333336
QLD1,2011-08-08,23.4,17.5625,10.7,55.3125,6.8,0.0,1012.5739130434783,6514.2,5594.752916666667,29.49229166666667
QLD1,2011-08-09,21.6,14.299999999999999,5.5,47.375,5.020833333333333,0.0,1010.5604166666667,6782.97,5803.874791666666,33.95229166666667
QLD1,2011-08-10,22.3,14.245833333333332,5.8,56.75,4.579166666666667,0.0,1009.8375,6762.62,5809.393125,30.805000000000003
QLD1,2011-08-11,20.6,14.308333333333332,10.1,60.833333333333336,3.5666666666666664,0.0,1008.7208333333333,6754.42,5844.5389583333335,36.764583333333334
QLD1,2011-08-12,22.6,14.635416666666666,9.4,56.833333333333336,4.004166666666667,0.0,1015.0875,6613.49,5756.404166666667,33.05375
